id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15606359,large double bedroom with ensuite,100608762,Shumei(淑梅),,Dublin City,53.40199,-6.167,Private room,35,1,128,2020-01-16,1.88,4,0,0,
15625970,Luxury 2 Bed Apt near Trinity & Grafton Street.,92019084,Rachael,,Dublin City,53.34491,-6.24771,Entire home/apt,165,20,46,2019-07-21,0.68,1,2,0,
15627778,Nice Recent Entire flat - 2 bedrooms/2 Bathrooms,10963953,Briac,,Dublin City,53.33919,-6.23464,Entire home/apt,300,6,0,,,2,0,0,
15630107,Ranelagh family home - Walk to the city,1224126,Katie,,Dublin City,53.32509,-6.25306,Entire home/apt,479,3,19,2022-04-17,0.29,1,233,1,
15642257,Gorgeous spacious apt in Dublin's coolest spot,8250717,Nicola,,Dublin City,53.35414,-6.28455,Entire home/apt,150,2,0,,,1,0,0,
15653924,"Stella Townhouse Grand Canal Dock, Dublin 4.",100055574,John,,Dublin City,53.34054,-6.23212,Entire home/apt,485,90,43,2021-09-30,0.63,3,0,2,
15659287,Warm friendly home.,101087087,Aisling,,Dublin City,53.32335,-6.30992,Private room,200,1,2,2016-10-27,0.03,1,0,0,
15662149,Budget Accommodation Dublin Ireland (Studio 1),101117916,Tom,,Dublin City,53.31559,-6.26623,Entire home/apt,77,1,165,2020-03-08,2.43,4,0,0,
15662629,Budget Accommodation Dublin Ireland (Studio 2),101117916,Tom,,Dublin City,53.31539,-6.26439,Entire home/apt,76,2,156,2020-03-02,2.29,4,0,0,
15677169,House on 3 levels  in Centre of Sutton Cross,90280236,Philip,,Fingal,53.38992,-6.11245,Private room,100,3,16,2022-03-20,0.56,1,17,8,
15677594,Comfy 3 bed apartment city centre,85917857,Una,,Dublin City,53.33324,-6.27613,Entire home/apt,123,2,1,2017-05-29,0.02,1,0,0,
15678843,Double room city centre,48701185,Paul,,Dublin City,53.35292,-6.2681,Private room,81,1,286,2022-05-24,4.22,5,85,69,
15682438,Cozy Double Room beside the sea,101255696,Roisin,,Fingal,53.45734,-6.18511,Private room,40,1,192,2022-05-29,2.83,1,0,16,
15695376,Budget Accommodation Dublin Ireland (Studio 3),101117916,Tom,,Dublin City,53.31752,-6.26406,Entire home/apt,76,2,175,2020-03-02,2.57,4,0,0,
15695932,Budget Accommodation Dublin Ireland (Studio 4),101117916,Tom,,Dublin City,53.31755,-6.26665,Entire home/apt,76,2,178,2020-03-16,2.62,4,1,0,
15696557,Modern  Comfortable With 2 Bedrooms 2 Bath,66434909,Toby,,Dublin City,53.38125,-6.29199,Entire home/apt,135,5,52,2022-05-22,0.80,1,3,7,
15701179,"Single, private Bedroom with bathroom 
+ Breakfast",93444732,Eileen,,Fingal,53.38799,-6.14357,Private room,65,2,80,2022-05-08,1.18,4,79,7,
15702634,Alensgrove Cottages No. 10,69800478,Sean,,South Dublin,53.35239,-6.50781,Entire home/apt,164,2,58,2022-05-26,0.86,8,1,12,
15716017,Apartment - Walking Distance to City Center,24730571,Colm,,Dublin City,53.34017,-6.2787,Entire home/apt,140,15,151,2020-01-01,2.32,1,0,0,
15719623,City Centre Single Bedroom with shared toilet,47199164,Cristina,,Dublin City,53.34919,-6.28455,Private room,45,2,0,,,1,0,0,
15725118,Spacious Room by Phoenix Park,64637240,Guilherme,,Fingal,53.37284,-6.33555,Private room,54,1,16,2017-06-30,0.24,1,0,0,
15726268,"Twin bed En-suite Room+Breakfast
Close to. airport",93444732,Eileen,,Fingal,53.38715,-6.14254,Private room,90,2,57,2022-06-05,0.97,4,55,12,
15726888,City centre Georgian one bedroom apartment,101343667,James,,Dublin City,53.35638,-6.26882,Entire home/apt,102,5,141,2021-11-27,2.07,1,6,13,
15742326,ABSOLUTE CENTRE | IN TEMPLEBAR | OLD CITY WALL,18976273,Gill,,Dublin City,53.34508,-6.26893,Entire home/apt,163,2,140,2018-09-30,2.06,6,0,0,
15749806,Private & Spacious Ensuite Double Bedroom,91978152,Kevin,,Dublin City,53.35987,-6.29844,Private room,69,2,9,2017-11-26,0.13,1,0,0,
15757589,Fantastic Georgian Flat City Centre,1026343,Alex,,Dublin City,53.35798,-6.25651,Entire home/apt,142,1,104,2022-06-06,1.53,1,10,30,
15763163,Basement apartment 20 min walk to city,101924325,Leonie,,Dublin City,53.36723,-6.25786,Entire home/apt,79,2,23,2017-06-24,0.34,1,0,0,
15771291,"Double bed Room with
(Private bathroom)+ Breakfast",93444732,Eileen,,Fingal,53.38744,-6.14432,Private room,80,2,62,2020-03-15,0.97,4,2,0,
